Team,week,season,teamRow,win,defFirstDowns,defNetPassYds,defTotalYds,defTurnovers,defTotalPlays,offFirstDowns,offNetPassYds,offTotalYds,offTurnovers,offTotalPlays,defRushAtt,defRushYds,defRushTD,defPassComp,defPassAtt,defPassYds,defPassTD,defPassInt,defTimesSacked,defSackYdsLost,defFum,defFumLost,defNumPen,defPenYds,def3rdConv,def3rdAtt,def4thConv,def4thAtt,offRushAtt,offRushYds,offRushTD,offPassComp,offPassAtt,offPassYds,offPassTD,offPassInt,offTimesSacked,offSackYdsLost,offFum,offFumLost,offNumPen,offPenYds,off3rdConv,off3rdAtt,off4thConv,off4thAtt,top
Arizona Cardinals,1,2002,1,0,21,320,442,1,73,14,187,257,1,57,32,122,1,28,40,327,3,1,1,7,0,0,7,56,6,10,1,2,20,70,1,14,36,187,1,1,1,0,1,0,1,5,3,7,0,0,25.6
Arizona Cardinals,2,2002,2,1,23.5,332.5,434,1,75,16.5,142.5,302,1,58,29,101.5,0.5,28.5,43.5,339.5,2,0.5,1,7,1,0.5,7,45.5,4,8,0.5,2.5,35,159.5,1,12,29,147,1,1,1.5,4.5,1.5,0,4,23.5,2.5,7,0,0,27.3
Arizona Cardinals,3,2002,3,0,22,276.3333333333333,385.6666666666667,1,72.33333333333333,16,161.66666666666666,300.3333333333333,1.6666666666666667,58.666666666666664,34,109.33333333333333,1,24.666666666666668,39.333333333333336,286.6666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,10.333333333333334,0.6666666666666666,0.3333333333333333,7.333333333333333,57,4,7.666666666666667,0.3333333333333333,1.6666666666666667,21,138.66666666666666,0.6666666666666666,13.333333333333334,31.333333333333332,174.33333333333334,1.3333333333333333,1.3333333333333333,2,12.666666666666666,1.3333333333333333,0.3333333333333333,3.3333333333333335,24,3,7,0,0.3333333333333333,26.77333333333333
Arizona Cardinals,4,2002,4,1,20,256.25,355,1.5,67.75,16.5,161.5,291,1.5,61.25,17,98.75,1,23.25,38.5,264.75,1,1,1.25,8.5,0.75,0.5,8,70.25,3.5,6.75,0.5,2,36,129.5,0.75,15.75,31.5,172.75,1.25,1,1.75,11.25,1.5,0.5,3.75,26.75,3,7.25,0,0.5,29.099999999999998
Arizona Cardinals,5,2002,5,1,18.4,242.2,332.8,2,66.2,16.8,173.4,295.2,1.4,63,24,90.6,0.8,22.6,37.6,251,1,1.2,1.4,8.8,1,0.8,7.6,65.2,3.4,6.8,0.4,1.8,29,121.8,0.6,16.2,33.2,182.4,1.2,1,1.6,9,1.4,0.4,4.2,33.8,3,7.8,0,0.6,29.565999999999995
Arizona Cardinals,7,2002,6,1,17.666666666666668,234.16666666666666,334.3333333333333,2.3333333333333335,65.16666666666667,17.666666666666668,182.5,309.3333333333333,1.3333333333333333,66.66666666666667,36,100.16666666666667,0.6666666666666666,21,35,242.83333333333334,1,1.6666666666666667,1.5,8.666666666666666,1,0.6666666666666666,7.333333333333333,64.16666666666667,3.1666666666666665,7.666666666666667,0.3333333333333333,1.5,38,126.83333333333333,0.5,17.333333333333332,35.333333333333336,190.66666666666666,1,0.8333333333333334,1.5,8.166666666666666,1.3333333333333333,0.5,3.8333333333333335,30.666666666666668,4,10,0,0.5,31.451666666666664
Arizona Cardinals,8,2002,7,0,17.714285714285715,236.71428571428572,337.57142857142856,2,64.14285714285714,18.428571428571427,194.85714285714286,325.14285714285717,1.7142857142857142,66.57142857142857,29,100.85714285714286,0.7142857142857143,20.571428571428573,34,244.14285714285714,1.4285714285714286,1.4285714285714286,1.4285714285714286,7.428571428571429,1,0.5714285714285714,6.714285714285714,58.57142857142857,3.142857142857143,7.285714285714286,0.42857142857142855,1.4285714285714286,27,130.28571428571428,1,18.285714285714285,35.42857142857143,204.28571428571428,0.8571428571428571,1.1428571428571428,1.7142857142857142,9.428571428571429,1.7142857142857142,0.5714285714285714,4.285714285714286,35.57142857142857,3.857142857142857,9.428571428571429,0.14285714285714285,0.5714285714285714,31.59428571428571
Arizona Cardinals,9,2002,8,0,18.375,235,347.25,2,64.5,17.75,191.875,313.875,1.875,64.75,36,112.25,0.75,20.5,33.375,244.25,1.5,1.5,1.5,9.25,0.875,0.5,7,61.25,3.5,7.875,0.375,1.25,19,122,0.875,18.375,34.75,202.875,0.875,1.125,1.875,11,1.75,0.75,4.5,36.125,4,9.75,0.125,0.625,30.711249999999996
Arizona Cardinals,10,2002,9,0,19.333333333333332,237.22222222222223,353.77777777777777,1.7777777777777777,64.88888888888889,17.88888888888889,195.66666666666666,316.44444444444446,2.2222222222222223,64,36,116.55555555555556,0.8888888888888888,20.77777777777778,33.111111111111114,246,1.4444444444444444,1.3333333333333333,1.4444444444444444,8.777777777777779,0.7777777777777778,0.4444444444444444,6.666666666666667,58.22222222222222,3.5555555555555554,7.666666666666667,0.3333333333333333,1.1111111111111112,29,120.77777777777777,0.7777777777777778,18.22222222222222,34.111111111111114,205.44444444444446,0.7777777777777778,1.2222222222222223,1.6666666666666667,9.777777777777779,1.8888888888888888,1,4.333333333333333,34.333333333333336,3.7777777777777777,9.222222222222221,0.1111111111111111,0.5555555555555556,30.328888888888887
Arizona Cardinals,11,2002,10,0,20,238.5,364.6,1.8,65.3,17.6,188.5,309.6,2.1,63.5,43,126.1,0.9,20.7,32.3,246.9,1.7,1.3,1.4,8.4,0.9,0.5,6.8,61.2,3.6,7.5,0.3,1,20,121.1,0.7,18.4,34.2,201.2,0.9,1.2,1.9,12.7,1.8,0.9,4,31.4,3.8,9.2,0.2,0.9,29.671
Arizona Cardinals,12,2002,11,0,20.727272727272727,247.0909090909091,378.72727272727275,1.7272727272727273,66.9090909090909,17.363636363636363,183.27272727272728,305.3636363636364,2.1818181818181817,62.81818181818182,37,131.63636363636363,1,21.272727272727273,33.45454545454545,255.36363636363637,1.8181818181818181,1.2727272727272727,1.3636363636363635,8.272727272727273,0.8181818181818182,0.45454545454545453,7.363636363636363,65.18181818181819,3.3636363636363638,7.181818181818182,0.36363636363636365,1,20,122.0909090909091,0.7272727272727273,18.181818181818183,34.18181818181818,196.0909090909091,1,1.2727272727272727,1.9090909090909092,12.818181818181818,1.7272727272727273,0.9090909090909091,4.090909090909091,31.727272727272727,3.5454545454545454,8.909090909090908,0.2727272727272727,0.9090909090909091,29.129999999999995
Arizona Cardinals,13,2002,12,0,21.25,248.25,386.9166666666667,1.6666666666666667,66.66666666666667,16.75,176,290.0833333333333,2.3333333333333335,62.833333333333336,38,138.66666666666666,1.1666666666666667,21,32.75,256.25,1.9166666666666667,1.1666666666666667,1.3333333333333333,8,0.8333333333333334,0.5,7.083333333333333,64,3.1666666666666665,6.833333333333333,0.3333333333333333,0.9166666666666666,15,114.08333333333333,0.6666666666666666,18.166666666666668,34.916666666666664,190.83333333333334,0.9166666666666666,1.5,2.1666666666666665,14.833333333333334,1.6666666666666667,0.8333333333333334,4.25,33.25,3.6666666666666665,9,0.25,1,28.904166666666665
