season,week,date,firstDownDiff,netPassYdsDiff,totalYdsDiff,turnoverDiff,totalPlaysDiff,rushAttDiff,rushYdsDiff,rushTDDiff,passCompDiff,passAttDiff,passYdsDiff,passTDDiff,passIntDiff,timesSackedDiff,sackYdsLostDiff,fumDiff,fumLostDiff,numPenDiff,penYdsDiff,thirdConvDiff,thirdAttDiff,thirdPercDiff,fourthConvDiff,fourthAttDiff,fourthPercDiff,topDiff,eloDiff,winner
2002,7,2002-10-20,8,34,38,-3,25,2,4,0,10,24,30,-1,-4,-1,-4,0,1,-4,-44,7,9,0.26190476190476186,0,0,NA,9.930000000000003,44.460000000000036,Home
2002,14,2002-12-08,6,28,110,0,26,16,82,0,4,4,76,1,1,6,48,-1,-1,3,17,1,2,0.041666666666666685,1,1,NA,13.3,27.682999999999993,Home
2002,3,2002-09-22,-4,36,8,2,-7,-13,-28,-2,-1,5,48,2,1,1,12,1,1,-6,-55,0,0,0,0,1,NA,-8.560000000000002,-12.077999999999975,Away
2002,9,2002-11-03,-10,-52,-180,1,-15,-17,-128,-1,-1,1,-52,-1,-1,1,0,2,2,-3,-40,-1,0,-0.08333333333333331,0,1,NA,-10.939999999999998,-102.95700000000011,Away
2002,4,2002-09-29,4,-35,0,-2,15,19,35,0,4,-4,-31,1,-2,0,4,1,0,-5,-75,1,4,-0.125,-1,-2,-0.3333333333333333,12.159999999999997,-85.34699999999998,Home
2002,12,2002-11-24,-13,-202,-257,2,-27,-17,-55,-1,-11,-11,-195,-1,1,1,7,1,1,-8,-70,0,2,-0.08333333333333334,0,0,0,-12.560000000000002,-210.52699999999982,Away
2002,10,2002-11-10,-8,-29,-69,5,-10,-7,-40,-2,-6,-2,-34,-1,2,-1,-5,3,3,-1,-14,-2,-1,-0.2666666666666666,0,0,NA,-5.459999999999997,29.159000000000106,Away
2002,16,2002-12-21,-7,-176,-174,0,-18,-9,2,-1,-7,-13,-147,1,0,4,29,2,0,-3,-15,-4,-5,-0.13636363636363635,-1,-2,NA,-8.64,-199.89200000000005,Away
2002,9,2002-11-03,-1,-72,-99,-1,3,10,-27,0,-2,-4,-93,-1,0,-3,-21,0,-1,-3,-29,-2,-1,-0.16666666666666663,1,0,1,3.3999999999999986,-36.32999999999993,Home
2002,7,2002-10-20,13,102,188,-1,16,18,86,3,11,1,88,0,-1,-3,-14,2,0,3,25,0,-2,0.11428571428571432,1,-1,1,20.26,33.88300000000004,Home
2002,2,2002-09-15,6,-1,15,1,6,-1,16,-1,5,4,23,0,-1,3,24,1,2,-2,-39,1,0,0.07692307692307693,0,0,NA,2.8400000000000034,-154.0970000000002,Away
2002,3,2002-09-22,7,38,115,-2,-1,16,77,1,-2,-16,38,2,-2,-1,0,-1,0,-1,-2,1,-1,0.16666666666666669,1,-3,1,13.5,55.23700000000008,Home
2002,16,2002-12-22,15,215,325,-1,23,20,110,1,9,5,188,0,-2,-2,-27,1,1,-2,-31,2,2,0.0892857142857143,0,-1,0.5,16.599999999999998,203.76099999999997,Home
2002,11,2002-11-17,6,-127,-52,-1,9,16,75,1,-9,-8,-119,0,0,1,8,-1,-1,-7,-64,1,1,0.04545454545454547,-1,-1,NA,6.760000000000002,-70.58499999999981,Home
2002,15,2002-12-15,-4,-75,-91,0,5,-2,-16,-2,-1,7,-58,1,2,0,17,-3,-2,4,50,1,1,0.09999999999999998,1,-1,1,6.960000000000001,122.06799999999998,Away
2002,5,2002-10-06,-1,-80,-84,2,5,-4,-4,0,0,7,-74,-1,3,2,6,-1,-1,0,6,-1,1,-0.19047619047619047,-1,0,-1,0.8599999999999994,-164.567,Away
2002,10,2002-11-10,1,-86,-47,-2,-14,4,39,2,-12,-17,-89,-1,-3,-1,-3,1,1,-4,-31,2,1,0.3333333333333333,1,1,NA,-5.159999999999997,185.5139999999999,Home
2002,16,2002-12-22,-3,-64,19,0,0,3,83,-1,-6,-3,-66,0,0,0,-2,2,0,-1,-30,2,1,0.2666666666666666,-1,-1,NA,0.46000000000000085,35.23199999999997,Away
